Student_ID,Course_ID,Date,Time_Spent_Minutes,Completion_Percentage
S001,PY202,05/01/2024,90,46.1
S001,DM101,28/01/2024,155,88.87
S001,UX303,28/01/2024,177,54.93
S002,PY202,03/02/2024,45,32.2
S002,UX303,15/03/2024,119,90.8
S002,WD404,16/02/2024,66,99.76
S002,PY202,06/03/2024,136,18.18
S002,DM101,15/01/2024,49,66.47
S002,WD404,17/03/2024,26,44.63
S002,WD404,08/03/2024,74,97.4
S002,DM101,28/03/2024,39,71.35
S002,UX303,23/03/2024,97,20.04
S002,WD404,21/01/2024,126,10.29
S003,PY202,05/03/2024,37,88.35
S003,UX303,22/03/2024,139,64.81
S003,PY202,17/02/2024,51,58.54
S003,DM101,17/03/2024,92,53.97
S003,DM101,16/02/2024,88,31.55
S003,PY202,13/03/2024,30,17.71
S003,WD404,09/01/2024,146,78.93
S004,WD404,11/03/2024,52,33.86
S004,WD404,28/01/2024,148,77.97
S004,PY202,09/02/2024,112,99.56
S004,UX303,26/02/2024,142,50.63
S004,PY202,29/01/2024,26,40.43
S005,PY202,01/01/2024,28,73.71
S005,DM101,30/01/2024,27,91.49
S005,UX303,10/01/2024,141,31.42
S005,WD404,28/01/2024,148,21.91
S005,WD404,01/02/2024,131,82.67
S005,PY202,13/01/2024,34,69.31
S006,WD404,22/02/2024,129,87.75
S006,DM101,27/03/2024,177,98.57
S006,DM101,08/01/2024,113,75.54
S006,DM101,01/02/2024,59,27.12
S006,WD404,18/01/2024,118,26.51
S006,WD404,01/02/2024,29,49.88
S006,DM101,07/01/2024,176,99.94
S006,DM101,12/01/2024,70,24.97
S007,WD404,28/01/2024,112,91.22
S007,PY202,18/02/2024,10,98.68
S007,UX303,28/02/2024,83,48.07
S007,WD404,20/01/2024,58,36.7
S007,DM101,15/03/2024,148,15.49
S007,UX303,08/01/2024,22,62.58
S007,PY202,08/01/2024,140,17.21
S007,PY202,09/01/2024,162,16.12
S007,PY202,21/02/2024,40,94.74
S007,PY202,15/03/2024,162,13.58
S008,WD404,25/03/2024,159,60.87
S008,UX303,03/02/2024,62,70.28
S008,UX303,31/01/2024,77,45.62
