Student_ID,Course_ID,Date,Time_Spent_Minutes,Completion_Percentage
S001,PY202,2024-01-05,90,46.1
S001,DM101,2024-01-28,155,88.87
S001,UX303,2024-01-28,177,54.93
S002,PY202,2024-02-03,45,32.2
S002,UX303,2024-03-15,119,90.8
S002,WD404,2024-02-16,66,99.76
S002,PY202,2024-03-06,136,18.18
S002,DM101,2024-01-15,49,66.47
S002,WD404,2024-03-17,26,44.63
S002,WD404,2024-03-08,74,97.4
S002,DM101,2024-03-28,39,71.35
S002,UX303,2024-03-23,97,20.04
S002,WD404,2024-01-21,126,10.29
S003,PY202,2024-03-05,37,88.35
S003,UX303,2024-03-22,139,64.81
S003,PY202,2024-02-17,51,58.54
S003,DM101,2024-03-17,92,53.97
S003,DM101,2024-02-16,88,31.55
S003,PY202,2024-03-13,30,17.71
S003,WD404,2024-01-09,146,78.93
S004,WD404,2024-03-11,52,33.86
S004,WD404,2024-01-28,148,77.97
S004,PY202,2024-02-09,112,99.56
S004,UX303,2024-02-26,142,50.63
S004,PY202,2024-01-29,26,40.43
S005,PY202,2024-01-01,28,73.71
S005,DM101,2024-01-30,27,91.49
S005,UX303,2024-01-10,141,31.42
S005,WD404,2024-01-28,148,21.91
S005,WD404,2024-02-01,131,82.67
S005,PY202,2024-01-13,34,69.31
S006,WD404,2024-02-22,129,87.75
S006,DM101,2024-03-27,177,98.57
S006,DM101,2024-01-08,113,75.54
S006,DM101,2024-02-01,59,27.12
S006,WD404,2024-01-18,118,26.51
S006,WD404,2024-02-01,29,49.88
S006,DM101,2024-01-07,176,99.94
S006,DM101,2024-01-12,70,24.97
S007,WD404,2024-01-28,112,91.22
S007,PY202,2024-02-18,10,98.68
S007,UX303,2024-02-28,83,48.07
S007,WD404,2024-01-20,58,36.7
S007,DM101,2024-03-15,148,15.49
S007,UX303,2024-01-08,22,62.58
S007,PY202,2024-01-08,140,17.21
S007,PY202,2024-01-09,162,16.12
S007,PY202,2024-02-21,40,94.74
S007,PY202,2024-03-15,162,13.58
S008,WD404,2024-03-25,159,60.87
S008,UX303,2024-02-03,62,70.28
S008,UX303,2024-01-31,77,45.62
S008,UX303,2024-02-28,90,93.61
S009,DM101,2024-02-28,169,99.86
S009,DM101,2024-01-10,147,29.18
S009,UX303,2024-01-17,99,89.28
S009,PY202,2024-02-17,82,24.2
S010,DM101,2024-03-26,151,36.94
S010,DM101,2024-01-18,77,20.39
S010,DM101,2024-03-11,49,34.51
S010,PY202,2024-02-13,62,71.87
S010,UX303,2024-03-05,135,32.6
S010,DM101,2024-01-12,172,48.12
S010,UX303,2024-01-06,10,40.02
S011,UX303,2024-01-21,123,59.65
S011,WD404,2024-03-12,12,20.07
S011,PY202,2024-03-10,19,85.11
S011,PY202,2024-02-25,42,13.76
S011,UX303,2024-01-06,101,28.91
S012,DM101,2024-02-15,153,89.57
S012,WD404,2024-03-20,49,93.32
S012,PY202,2024-01-21,55,89.33
S012,DM101,2024-01-23,95,80.41
S012,WD404,2024-03-26,73,34.01
S012,DM101,2024-02-18,19,87.27
S013,PY202,2024-02-28,99,37.47
S013,PY202,2024-01-29,16,69.4
S013,WD404,2024-02-12,81,87.79
S013,UX303,2024-02-14,174,55.85
S013,UX303,2024-01-04,39,88.93
S013,UX303,2024-01-23,158,96.63
S014,DM101,2024-01-14,162,49.11
S014,UX303,2024-02-25,165,98.58
S014,DM101,2024-02-19,157,27.11
S014,DM101,2024-03-31,121,10.15
S014,PY202,2024-02-16,120,16.3
S014,UX303,2024-03-20,90,69.7
S014,DM101,2024-02-08,139,37.84
S015,UX303,2024-02-21,85,59.9
S015,PY202,2024-02-23,180,94.63
S015,PY202,2024-03-19,155,37.09
S015,DM101,2024-02-08,83,28.92
S015,UX303,2024-02-29,123,49.79
S015,PY202,2024-03-06,131,81.44
S015,PY202,2024-03-25,31,35.54
S015,UX303,2024-01-12,70,70.55
S015,PY202,2024-01-26,47,12.2
S016,WD404,2024-03-19,28,50.99
S016,PY202,2024-03-30,108,54.49
S016,PY202,2024-01-19,177,71.89
S016,DM101,2024-02-24,66,25.83
S016,WD404,2024-01-07,152,32.43
S016,DM101,2024-02-28,44,82.13
S017,WD404,2024-03-19,139,48.41
S017,WD404,2024-01-21,131,50.51
S017,PY202,2024-03-22,80,78.92
S017,WD404,2024-03-21,71,34.71
S017,DM101,2024-02-06,70,34.45
S017,UX303,2024-03-10,30,22.45
S017,PY202,2024-02-19,49,73.58
S017,DM101,2024-02-23,114,39.78
S018,WD404,2024-01-08,62,84.96
S018,WD404,2024-03-15,15,87.11
S018,WD404,2024-03-02,11,94.85
S018,UX303,2024-02-19,117,58.44
S018,PY202,2024-03-03,66,34.56
S018,WD404,2024-01-04,109,40.25
S018,WD404,2024-01-22,129,92.76
S018,DM101,2024-02-20,161,60.8
S018,DM101,2024-01-11,174,48.58
S018,WD404,2024-01-24,22,33.41
S019,PY202,2024-02-28,93,40.38
S019,WD404,2024-02-05,117,32.7
S019,DM101,2024-03-01,14,77.41
S019,DM101,2024-02-14,67,68.51
S019,DM101,2024-01-04,73,27.94
S019,DM101,2024-03-20,49,31.47
S019,WD404,2024-03-26,39,60.76
S019,PY202,2024-02-29,75,79.02
S020,DM101,2024-01-21,89,19.73
S020,DM101,2024-02-09,157,70.96
S020,WD404,2024-02-20,60,16.84
S020,PY202,2024-01-14,87,86.53
S020,DM101,2024-03-13,20,41.25
S021,UX303,2024-01-09,139,68.28
S021,DM101,2024-02-23,135,19.5
S021,UX303,2024-03-22,127,73.66
S021,WD404,2024-01-23,143,96.89
S021,UX303,2024-03-19,147,79.72
S021,WD404,2024-02-25,161,34.16
S021,PY202,2024-01-12,81,89.35
S021,PY202,2024-02-29,155,64.93
S021,WD404,2024-02-13,17,54.49
S022,PY202,2024-03-03,64,41.93
S022,UX303,2024-02-13,81,89.23
S022,UX303,2024-03-12,12,56.5
S022,PY202,2024-01-11,71,74.81
S022,WD404,2024-03-12,71,72.15
S022,WD404,2024-02-27,14,18.37
S022,PY202,2024-02-21,72,37.56
S022,UX303,2024-03-01,151,57.78
S023,UX303,2024-02-15,126,34.38
S023,UX303,2024-01-30,40,74.92
S023,UX303,2024-01-16,147,95.58
S023,PY202,2024-01-25,65,76.47
S023,UX303,2024-03-16,144,63.71
S023,DM101,2024-01-25,85,30.47
S023,PY202,2024-02-08,13,73.72
S023,PY202,2024-02-05,21,97.69
S023,UX303,2024-03-30,42,67.41
S024,DM101,2024-01-02,156,35.59
S024,WD404,2024-02-26,97,26.59
S024,DM101,2024-02-02,132,20.27
S024,DM101,2024-02-21,135,16.67
S024,DM101,2024-01-20,48,83.0
S024,UX303,2024-01-11,73,20.66
S024,WD404,2024-03-18,162,81.17
S024,PY202,2024-03-07,107,50.55
S024,WD404,2024-02-08,160,99.1
S024,UX303,2024-03-13,168,15.42
S025,PY202,2024-03-21,64,33.82
S025,DM101,2024-01-21,71,25.64
S025,DM101,2024-01-21,10,46.77
S025,WD404,2024-02-07,18,30.83
S026,WD404,2024-01-10,69,93.15
S026,PY202,2024-02-24,39,59.01
S026,PY202,2024-02-04,46,16.43
S026,PY202,2024-02-09,162,77.41
S026,UX303,2024-02-26,41,52.18
S026,UX303,2024-03-30,113,94.84
S026,WD404,2024-02-26,30,63.82
S027,UX303,2024-03-18,74,12.33
S027,PY202,2024-03-27,157,62.84
S027,DM101,2024-03-27,78,61.86
S027,PY202,2024-03-01,142,68.64
S027,UX303,2024-01-24,159,49.23
S027,WD404,2024-01-12,130,41.32
S027,UX303,2024-02-11,36,87.2
S027,UX303,2024-02-22,136,35.94
S027,WD404,2024-03-11,19,50.93
S028,UX303,2024-02-11,39,97.32
S028,WD404,2024-03-06,10,69.19
S028,WD404,2024-02-22,23,26.88
S028,UX303,2024-03-20,137,66.29
S028,DM101,2024-01-27,78,59.43
S028,UX303,2024-02-26,134,20.93
S028,PY202,2024-03-31,50,37.97
S028,DM101,2024-03-11,114,18.39
S029,WD404,2024-01-16,175,84.89
S029,WD404,2024-02-07,140,73.49
S029,WD404,2024-03-02,130,31.94
S029,PY202,2024-02-19,58,92.97
S030,DM101,2024-02-05,116,40.59
S030,UX303,2024-01-01,82,75.34
S030,WD404,2024-01-20,124,58.47
S030,UX303,2024-02-12,151,78.66
S030,WD404,2024-02-28,92,88.26
S031,WD404,2024-01-30,115,13.93
S031,WD404,2024-03-31,107,44.75
S031,PY202,2024-03-04,19,21.36
S031,UX303,2024-01-13,122,18.97
S031,WD404,2024-01-02,46,46.9
S031,PY202,2024-01-10,130,80.34
S032,UX303,2024-03-20,111,68.49
S032,UX303,2024-03-27,146,44.2
S032,UX303,2024-03-21,134,88.51
S032,DM101,2024-03-20,27,31.13
S032,UX303,2024-01-30,33,49.06
S032,DM101,2024-03-22,35,49.93
S032,UX303,2024-01-04,21,39.19
S033,UX303,2024-02-15,105,48.76
S033,PY202,2024-03-08,115,60.93
S033,PY202,2024-01-22,54,17.11
S034,PY202,2024-03-04,159,22.88
S034,WD404,2024-03-22,75,51.36
S034,DM101,2024-02-29,83,70.98
S034,PY202,2024-01-10,123,95.07
S034,UX303,2024-03-22,118,72.13
S034,WD404,2024-02-08,60,99.94
S034,WD404,2024-01-14,70,44.32
S034,UX303,2024-03-14,85,99.34
S034,UX303,2024-01-03,178,45.62
S035,DM101,2024-03-18,137,84.96
S035,UX303,2024-01-30,165,82.17
S035,PY202,2024-03-22,58,65.88
S036,DM101,2024-03-21,175,13.55
S036,WD404,2024-01-05,158,42.84
S036,PY202,2024-01-12,85,39.4
S036,WD404,2024-01-23,61,21.89
S036,UX303,2024-03-08,138,92.21
S037,UX303,2024-03-02,85,77.19
S037,UX303,2024-01-15,129,96.66
S037,PY202,2024-01-29,111,97.05
S037,UX303,2024-01-12,111,11.25
S037,DM101,2024-02-28,104,70.55
S038,WD404,2024-03-22,105,19.75
S038,PY202,2024-03-01,16,65.76
S038,UX303,2024-03-19,66,68.29
S038,WD404,2024-03-30,87,68.43
S038,DM101,2024-01-18,21,95.16
S038,UX303,2024-03-04,39,18.75
S038,PY202,2024-02-19,126,43.39
S039,PY202,2024-02-23,177,18.91
S039,WD404,2024-03-19,114,94.51
S039,UX303,2024-01-05,104,29.55
S039,WD404,2024-01-31,102,18.94
S039,UX303,2024-03-10,175,42.28
S039,WD404,2024-02-05,58,97.14
S039,WD404,2024-01-12,179,29.09
S039,DM101,2024-01-07,95,31.92
S039,PY202,2024-03-13,62,16.17
S040,PY202,2024-01-30,94,79.69
S040,DM101,2024-02-05,47,98.88
S040,UX303,2024-01-23,38,69.5
S040,DM101,2024-01-17,13,42.24
S040,PY202,2024-03-16,92,11.42
S040,UX303,2024-01-07,42,76.75
S041,DM101,2024-03-01,124,80.02
S041,DM101,2024-02-27,138,29.94
S041,DM101,2024-03-25,143,37.15
S041,DM101,2024-01-08,132,86.26
S042,DM101,2024-03-03,123,16.61
S042,DM101,2024-02-11,165,23.35
S042,PY202,2024-02-05,169,66.98
S042,UX303,2024-02-18,162,57.75
S042,WD404,2024-03-05,164,48.72
S042,DM101,2024-03-24,176,88.99
S042,PY202,2024-02-25,125,89.93
S042,WD404,2024-02-13,126,45.89
S042,DM101,2024-02-10,119,38.13
S043,UX303,2024-01-20,131,16.04
S043,DM101,2024-01-12,120,18.69
S043,UX303,2024-01-17,152,15.4
S043,UX303,2024-03-26,41,46.97
S043,WD404,2024-01-07,83,64.04
S043,UX303,2024-01-14,157,55.67
S043,PY202,2024-03-25,133,30.18
S044,UX303,2024-03-12,104,20.34
S044,UX303,2024-03-14,67,82.65
S044,DM101,2024-03-18,178,84.65
S044,UX303,2024-01-04,56,34.59
S045,UX303,2024-02-14,11,26.33
S045,PY202,2024-03-13,178,46.07
S045,PY202,2024-03-22,17,18.26
S045,PY202,2024-02-18,117,50.83
S045,PY202,2024-02-17,89,74.94
S045,DM101,2024-01-07,49,24.17
S045,DM101,2024-03-27,30,34.49
S046,WD404,2024-03-18,123,47.28
S046,PY202,2024-03-06,39,41.07
S046,DM101,2024-02-06,161,53.8
S046,UX303,2024-01-06,66,45.57
S046,DM101,2024-01-01,62,37.13
S046,PY202,2024-01-18,75,36.05
S046,DM101,2024-01-01,137,77.23
S046,PY202,2024-01-17,107,57.93
S046,PY202,2024-03-05,153,85.0
S047,DM101,2024-02-20,20,49.26
S047,WD404,2024-01-10,90,61.82
S047,WD404,2024-03-31,173,47.59
S047,DM101,2024-02-21,15,96.96
S047,PY202,2024-03-20,127,84.88
S047,UX303,2024-01-12,121,86.0
S047,PY202,2024-02-25,160,46.04
S047,DM101,2024-02-20,89,77.12
S048,UX303,2024-01-22,29,55.94
S048,DM101,2024-03-08,140,27.45
S048,UX303,2024-02-14,175,83.35
S048,PY202,2024-01-14,47,33.04
S048,PY202,2024-03-18,49,78.42
S048,DM101,2024-01-23,170,54.47
S049,UX303,2024-03-21,90,23.59
S049,DM101,2024-03-01,123,66.82
S049,UX303,2024-03-16,24,41.67
S049,DM101,2024-02-09,128,50.67
S049,DM101,2024-02-17,83,16.91
S049,DM101,2024-03-19,162,55.64
S049,WD404,2024-03-15,151,95.88
S049,DM101,2024-02-27,156,68.67
S049,UX303,2024-03-18,131,55.12
S049,DM101,2024-02-27,36,82.99
S050,DM101,2024-03-05,175,25.53
S050,PY202,2024-03-31,122,99.19
S050,PY202,2024-02-16,105,92.61
S050,WD404,2024-02-22,96,71.1
S050,DM101,2024-03-21,175,40.12
S050,UX303,2024-01-13,152,71.05
S050,UX303,2024-02-02,178,96.8
S050,PY202,2024-02-12,30,62.45
S051,UX303,2024-02-09,177,72.86
S051,WD404,2024-01-17,162,73.8
S051,DM101,2024-02-09,153,43.9
S051,UX303,2024-01-17,144,18.41
S051,WD404,2024-03-06,102,11.64
S052,PY202,2024-01-28,97,95.29
S052,WD404,2024-01-25,67,100.0
S052,PY202,2024-01-10,85,86.0
S052,DM101,2024-03-05,148,85.16
S052,DM101,2024-03-25,96,88.88
S052,PY202,2024-03-17,106,23.88
S052,PY202,2024-03-29,169,82.81
S053,WD404,2024-01-06,115,42.79
S053,PY202,2024-02-26,166,35.64
S053,WD404,2024-01-30,146,31.53
S053,WD404,2024-01-25,104,71.05
S053,WD404,2024-02-29,82,80.03
S054,PY202,2024-01-26,164,22.46
S054,UX303,2024-01-07,174,53.25
S054,UX303,2024-03-11,36,74.03
S054,DM101,2024-02-06,31,78.68
S054,UX303,2024-02-27,141,23.26
S054,WD404,2024-01-12,66,83.5
S054,UX303,2024-01-04,116,14.79
S054,UX303,2024-01-31,108,99.51
S054,UX303,2024-01-29,17,38.68
S055,UX303,2024-01-19,45,13.45
S055,WD404,2024-03-30,45,78.3
S055,WD404,2024-02-27,167,10.47
S055,DM101,2024-01-03,75,29.41
S056,WD404,2024-01-15,83,31.39
S056,DM101,2024-01-07,71,47.78
S056,WD404,2024-01-09,38,85.3
S056,WD404,2024-03-17,147,11.48
S056,PY202,2024-01-19,84,48.63
S057,PY202,2024-03-14,116,26.86
