Student_ID,Course_ID,Rating,Feedback_Text
S057,UX303,2,Too fast-paced
S063,PY202,2,Loved the examples
S022,PY202,4,Could be better
S011,PY202,5,Needs improvement
S073,WD404,4,Could be better
S004,DM101,1,Excellent instructor
S029,UX303,3,Could be better
S038,WD404,3,Great course!
S005,DM101,4,Loved the examples
S036,DM101,5,Excellent instructor
S094,PY202,4,Well structured
S069,WD404,3,Loved the examples
S037,UX303,3,Too fast-paced
S098,WD404,3,Great course!
S059,DM101,1,Could be better
S096,DM101,1,Too fast-paced
S064,WD404,4,Great course!
S071,WD404,2,Too fast-paced
S066,UX303,2,Needs improvement
S015,DM101,3,Needs improvement
S074,DM101,3,Too fast-paced
S081,DM101,4,Needs improvement
S035,PY202,4,Very helpful
S070,DM101,1,Well structured
S047,WD404,1,Too fast-paced
S077,PY202,5,Could be better
S006,DM101,1,Loved the examples
S100,DM101,4,Too fast-paced
S075,WD404,1,Well structured
S028,WD404,1,Very helpful
S055,DM101,3,Loved the examples
S014,UX303,2,Excellent instructor
S032,PY202,2,Very helpful
S039,DM101,5,Too fast-paced
S092,WD404,3,Well structured
S058,PY202,4,Could be better
S034,PY202,1,Very helpful
S023,PY202,1,Excellent instructor
S056,UX303,4,Loved the examples
S053,PY202,2,Needs improvement
S080,DM101,2,Needs improvement
S090,DM101,3,Well structured
S062,PY202,4,Needs improvement
S008,DM101,2,Could be better
S050,WD404,1,Well structured
S052,WD404,5,Very helpful
S016,DM101,3,Loved the examples
S089,PY202,4,Excellent instructor
S072,UX303,5,Too fast-paced
S048,WD404,1,Great course!
S093,DM101,1,Needs improvement
S045,PY202,1,Great course!
S099,WD404,5,Needs improvement
S046,WD404,4,Excellent instructor
S040,DM101,5,Too fast-paced
S041,UX303,1,Needs improvement
S083,DM101,5,Well structured
S097,PY202,5,Loved the examples
S076,WD404,5,Very helpful
S009,UX303,4,Well structured
S061,DM101,2,Very helpful
S042,WD404,1,Could be better
S095,DM101,3,Too fast-paced
S088,DM101,1,Too fast-paced
S051,DM101,2,Could be better
S078,UX303,5,Needs improvement
S018,PY202,3,Too fast-paced
S043,UX303,1,Great course!
S021,UX303,4,Needs improvement
S091,DM101,3,Very helpful
S010,WD404,4,Loved the examples
S030,DM101,4,Too fast-paced
S019,UX303,2,Needs improvement
S049,DM101,5,Very helpful
S017,PY202,5,Great course!
S087,DM101,1,Well structured
S065,DM101,4,Loved the examples
S082,WD404,2,Too fast-paced
S067,DM101,5,Excellent instructor
S002,PY202,3,Well structured
